national_park,state,trail,activity,overall_rating,comment_title,comment_ratings,comment_text
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Turned back on 3/20/21 due to ice,4.0 of 5 bubbles,"I have hiked to the fire tower a few times. Its a great hike, and not too strenuous elevation gains.  If the NO rangers are up there ( in the summer) they used to allow you to go up the tower. We had to turn back on 3/20 because of hard pack solid ice. We had our Katoohla micro spikes on, and solid hiking poles, and knew they simply  wouldn't be enough if the ice was on the steeper sections.  We walked into the trailhead because the access road gate is still closed. After deciding to cross the lot and hike Beech Cliff Loop, which was much more clear of ice, and has excellent views of Echo Lake and the ocean out toward  Southwest Harbor. We returned to BH to hear of the recovery of a young couple from Rutland Massachusetts  who had fallen 100 feet to their death on Dorr Mountain Gorge Trail. The tragedy attributed to ice on the trails. Anyone not experienced with full crampon travel, and ice climbing training should never attempt to hike or climb on solid ice. The danger is severe.. "
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Spectacular,5.0 of 5 bubbles,"This trail was recommended in my Acadia travel book, and it didn’t disappoint. At several points, there are spectacular views of lakes below. Much of the “trail” is composed of granite faces or rocks, so you must carefully place your feet. I wouldn’t do this in sneakers. Even though the trail is only a mile, it took me an hour and 40 minutes. At the summit, there’s a fire tower you can climb for an even better view. Highly recommend."
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Great Trail,5.0 of 5 bubbles,"Beech Mountain Trail is one of my favorites in Acadia National Park.  It is located on the quieter side of Mount Desert Island with less hikers and more parking available.  This loop trail is rated at a medium level of difficulty (blue) and is suitable for both children and adults of all ages who are is reasonably good shape.  We chose to ascend to the top via the steeper portion of the trail.   Shoes with a good grip are recommended for hiking over the rocky sections.  At the top, the views of the surrounding lakes and park land are outstanding.  So, save this hike for a clear day.  The descent along the flatter section of the trail contains offers wonderful views of Long Pond.  Enjoy !"
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Best trail in Acadia,5.0 of 5 bubbles,"We stumbled onto this trail and were very happy we found it.  The trail is about 1.3 miles and is considered a ""moderate"" hike.  There are some steady climbs, but there are so many places to stop and look at the sights that you get time to rest.  The views of Long Pond and (I think) Echo Lake are phenomenal.  For hikers, this is a must!"
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Great trail for family,5.0 of 5 bubbles,"My family has kids ranging from age 10 to 3. When we were in Acadia park, we struggled to find trails that aren't too long, too short, too steep, or too mild. After some research, we tried out Beech Mountain Trail. It turned out better than expected! The trail is not very long, but with decent climb with plenty of rocks (kids love those). There are a few open areas along the trail (besides mountain top) with great view to Echo lake to the east, Harbor to the south, and Long pond to the west. The view of Long pond is especially pretty. Our family cleared the trail in about 2 hours, with plenty of rest and playing as well. We feel this trail provides a nice blend of slope, rocks and views that are well suited for families. We thoroughly enjoyed it!"
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,"Nice Views, Fewer People",4.0 of 5 bubbles,"We hiked this trail in August.  There are two options for approaching the trail.  The shorter route involves a steeper grade.  A good portion meant climbing over rock.  We took this option on the way up and the more gradual trail on the way down.  My husband and I are in our 50s and were glad that we chose this route.   We felt that the more steep grade and rock faces may have been more difficult for us coming down.  We also felt that the taking the longer, less steep route on the descent allowed us to see the beautiful views of Long Pond more easily (as it was in facing us).  The fire tower at the top isn't used now.  You can climb up some of the stairs before they are blocked.  From what we read, there are certain weekends where the fire tower is opened to visitors.  The view from the peak and fire tower stairs is impressive.  There were other hikers on the trail but it wasn't over run.  It took us approximately 1 1/2 hours to complete the hike including rests and photo ops.  The trail is reached from Hwy 102 by Pretty Marsh Road and Beech Hill Road.  This trail is part of Acadia National Park and vehicles should have a park permit displayed while in the trail parking lot."
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Good Hike in Acadia,4.0 of 5 bubbles,"Reviewed by a middle aged, overweight flatlander."
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,A great climb!,5.0 of 5 bubbles,"We chose this trail because it was shorter for my younger children (8 and 11) and Beech Mountain has a fire tower at the top which intrigued my husband who is a fireman.  All of the National Park trails are well marked and this one was no exception.  At the top, a ranger was waiting to tell us anything we wanted to know about the tower and also showed us historical pictures.  My family all enjoyed this quick trek up a mountain and I would highly recommend it.  Some of the park mountain trails are full of tourists, but Beech Mountain is more off the beaten track so if you want to get away from the large crowds, try this trail!"
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Not enough stars available for my review!,5.0 of 5 bubbles,"I loved this trail. A park ranger told us that it might be too difficult for us, with the ladders, but it was just right for us. The views were incredible. We hiked from the beach, to the top, and back around to the beach. We ended up doing it twice, so that everyone in our party would get the experience. It was away from the crowds that were everywhere in Acadia. This was my favorite thing in the park."
Acadia National Park,Maine (ME),Beech Mountain Trail,Hiking Trails,4.5,Amazing views,5.0 of 5 bubbles,"When you arrive at the top there is a fire lookout so you can get above the trees. From there you can see the following: Sargent mtn, Acadia mtn, st. Sevaur mtn, flying mtn, sutton island, cranberry island, islesford( little cranberry island), baker island, southwest harbor, and northeast harbor. Every time we Come to Acadia we do this hike, but bring lots of water on a hot day."
Arches National Park,Utah (UT),Skyline Arch,Geologic Formations,4.5,A skyline view,4.0 of 5 bubbles,We were headed to Devil’s Garden and made a stop here. It is a fairly quick stop even if you do the hike which is not a far or strenuous hike at all. No need to do the hike though because you can get a good view and good pictures from the pull off location.
