trail_name,picture
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b9/photo9jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b9/photo9jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b8/photo8jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b8/photo8jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b7/photo7jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b7/photo7jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b6/photo6jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b6/photo6jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b5/photo5jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b5/photo5jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b4/photo4jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b4/photo4jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b3/photo3jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b3/photo3jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b2/photo2jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b2/photo2jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b1/photo1jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b1/photo1jpg.jpg?w=200&h=200&s=1 2x"
Starved Rock State Park,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b0/photo0jpg.jpg?w=100&h=-1&s=1 1x,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b5/28/b0/photo0jpg.jpg?w=200&h=200&s=1 2x"
