trail,overall_rating,comment_title,ratings,comment_text
‪Diamond Head State Monument,4.5,"Busy Place to Hike, Worth Doing Once",3.0 of 5 bubbles,"Took an uber to the visitor center. The uber drivers have to pay $2 fee to get through the gate for the day, so I felt a little bad but the uber was $11+ from Waikiki. It was still early (around 9am) so he could make multiple trips up and make up for it."
‪Diamond Head State Monument,4.5,All good except for parking,2.0 of 5 bubbles,"My family of 4 hiked diamond head, took us about 30 minutes to go up, 25 to go down, and It was amazing, one of the best hikes I’ve ever done. HOWEVER, the reason for only two stars is the parking problem! We drove our car all the way into the crater to the parking lot, but as we kept getting closer we noticed they were steering people away, and making them turn around. When we got to the near front of the line, we saw a sign saying “parking lot full”. Now, I understand it’s crowded and all, but they really should have put the sign up more (maybe by the cave tunnel you have to drive through) so people don’t have to  drive all the way there just to get turned around to leave at the entrance to the lot. What we did was park our car in a neighborhood and got a olive that dropped us off at the lot. They really need to get there parking situation under control. If all those cars were able to park (and therefore pay the parking fee) this monument could be making a whole lot more of money! So, I’d recommend  either making the sign that the lots full more visable and further up, or allowing people to park in the huge open dirt field right next to the parking lot!"
‪Diamond Head State Monument,4.5,Great Challenge for Seniors,4.0 of 5 bubbles,"This was our third climb so I had to rate it a little less than the first when it was a nivel experience. Having said that, I would consider it a must do if you are in Honolulu. Public tranportation is available and cheap. It was $2.00 for a city bus, but it does not get you real close to the crater. About a 15 min walk and it does get hot. There are trolleys that drop you off right at the visitor's centre but they are more expensive. We went by rental car and the fee was $5.00 for parking. No other charge. Since we are both seniors we took our time going up. Also my wife has a bad knee, but that should not deter most people. They say 20-30 min is a good time to reach the top. The ascent is fairly gentle with the stairways the hardest part. 99 and 76 steps. There is a long tunnel too, if you are claustrophobic at all. The view at the top is spectacular. We liked being able to see our hotel, the Royal Hawaiian. You really should go."
‪Diamond Head State Monument,4.5,A must see,5.0 of 5 bubbles,Amazing hike. They charge you a dollar to get in and then you follow the trail all the way up. It's a combination of ramps and stairs. I would suggest still wearing good shoes as there are some uneven paths at times. It's pretty busy as it's a popular hike but very much worth it for the views. They don't let anyone hike after 4.30pm so make sure you get there in time.
‪Diamond Head State Monument,4.5,Excellent hike offering great views.,5.0 of 5 bubbles,"We took a cab from Waikiki on the first Thursday of December.  The cost for Diamond Head was $5/person, but if you drive, they also charge $10 to park.  The park doesn't accept cash - only credit/debit card.  Hike to the summit took over 1/2 hour due to some parts being steep and taking photo breaks, etc.  When you go through the tunnel toward the top, you have to go either left or right - we went left because it's not quite as steep as going right and through the steps and spiral steps in the bunker.  We spent about 20 minutes at the top admiring the great views before we started our descent going through the bunker on the way down.  We arrived at 8:45 am so it wasn't too busy, but it started getting crowded before we left at about 10:30 after drinking a pineapple drink at the bottom.  We walked back to Waikiki (about 2.5 to 3 miles because we visited the Honolulu Zoo which is on the way back.  If you go, bring water, sunscreen and wear comfortable shoes.  I would describe the hike as moderate as it wasn't too difficult, but it helps to be in reasonably good shape."
‪Diamond Head State Monument,4.5,Great way to watch the sunrise and take in the scenery,5.0 of 5 bubbles,"We came across this place when looking for things to do on a drive around the island. This is state monument, so you do have to reserve your slot ahead of time online. They open about a month or two ahead of time. It seemed that there was a lot of availability all the way up until a day or two before that it was filled up more. The morning times are more popular than the afternoon times. You do have to pay entry fee, and then if you are parking, that is an extra fee as well. I did see many people park elsewhere down the hill and then walk into the park, which I believe is a discounted entry fee. Once you scan your reservation, you get handed a map (helpful for the hike since there are some forks in the path) and you park and take the path to the top of the crater. There is a very very small shack with some limited souvenirs at the bottom in the parking lot as well. The path starts out paved for a small bit, and then it turns to rocky and uneven as it winds it way up to the top. There are also many stairs. Please be sure to bring a water bottle! The trail isn’t very wide so everyone was courteous in pulling to the side if they needed a break, or if someone else was going the opposite way that you were. There are a few spots as well that have some pull off areas that have benches or just have different scenic views for photos. We chose to do the sunrise hike so we arrived at 6am (they open at 5:45am) for the sun to rise at 6:30am. The temperature was perfect before the sun was coming up. Many other people had the same idea as us because it was quite crowded at the top and hard to find a spot to sit and watch the sunrise, many others spread out along the path on the way up. There is a bunker built into the side that there are some signs about at the top. At the top you can get a view of the crater below, a view out onto the ocean, a view of Waikiki, and a mountain/island view. It was a very cool adventure to do. If you are fit and don’t stop along the way, it will take about 30 minutes up and 30 minutes down. Overall this was a cool thing to do as we have never seen or been on a crater before, and it had amazing views. This was also a great way to catch the sunrise."
‪Diamond Head State Monument,4.5,Diamond Head,3.0 of 5 bubbles,"I would recommend either going very early in the morning or late in the afternoon . We visited about 9:30 am and it was very crowded and hot. The hike itself is not difficult, although it does involve a constant incline and steep stairs.  Views on top are beautiful."
‪Diamond Head State Monument,4.5,To the top in 20 mins - Yes!,5.0 of 5 bubbles,"This adventure was taken with a full on workout in mind;  I did it in flipflops and made it to the top of those many many many make shift stairs in 20 minutes.  The climb for the average person would probably seem grueling bothersome and not worth the trouble, but low and behold once you make it to the summit you are rewarded with the most fantastic views that will surely be one of the most lasting memories of your entire vacation!"
‪Diamond Head State Monument,4.5,Tough hike but worth the views,4.0 of 5 bubbles,"We were here in January and the rainy season came early.  We had a rental car for the day and first arrived in the morning but it was jam packed with cars; the wait for parking would have been long.  So we passed and went on our rest of the day tour of the island. Toward the end of the day, we decided to give this place another try; to our surprise, there was plenty of parking and they weren't even charging to park, but we would have to hurry before they closed. The hike was much harder than I expected; not so much for our energetic 18 year old grandson. He kept slowing down/waiting for us.  The view from the top does not include the actual Diamond Head crater, which was disappointing, but the views of the island were great.  With the rainy season comes the rainbows. On the way down, I slipped on a wet area but luckily was holding onto the rail and just wrenched my shoulder a little, but better than falling. Wear good quality shoes!  I was but still slipped in the steeper wet areas."
‪Diamond Head State Monument,4.5,Amazing views!!!,5.0 of 5 bubbles,"A must experience hike while in Honolulu! Omg! I cannot express how outstanding this hike was. Diamond Head is great for anyone who wants to experience nature at its finest. We did the early morning hike 6:30am so we could watch the sunrise and it was incredible!!! The hike itself was a moderate hike, but I recommend to get there as early as possible because it can get hot really fast. Take the essentials; water, sunblock, a hat and some really good shoes. "
Starved Rock State Park,4.5,"Too many visitors, no respect for place or people",1.0 of 5 bubbles,"Probably my fault for going on a Sunday afternoon in the middle of a pandemic, but this place is a trash dump. 1 in maybe 50 people even bothered to wear masks on crowded trails. There’s litter everywhere. The bathrooms are the grossest I have ever seen. And everywhere, no matter where I went, there was some selfish jerk blasting music on a portable boom box. It seems like people are given free rein to treat the place like garbage and there aren’t any staff there to enforce the rules. Why don’t they charge even a small admission? If they did, maybe that would deter people from coming to hang out and trash the place. It might also pay for rangers on the trails so that people actually face consequences for disrespecting the site and other visitors. As it stands, it seems like the people of this state are perfectly happy treating one of their geological wonders like a trashy amusement park, and given that there are so few places like this within easy driving distance of Chicago, that's a real shame. It makes me wonder what other natural sites in this state have been ruined by mismanagement."
Starved Rock State Park,4.5,Do not go on a weekend,3.0 of 5 bubbles,"Went last weekend and I do not recommend going on a weekend until the Covid-19 crisis is over. Very crowded, no distancing- people seemed totally unaware that a global pandemic is happening. No wonder Illinois rates are rising. Even in public areas where masks are supposedly required, less than 1/2 of those in the buildings were masked and only about 10% of those hiking and you are literally right on top of another person much of the time"
Starved Rock State Park,4.5,Frozen wonderland ,5.0 of 5 bubbles,"This park is extremely popular.  I’d recommend weekdays or the winter. During the cold parts of the winter, the waterfalls freeze and provided spectacular images.  The trails are easy to manage.  The Illinois River is such a creative erosional force.  "
Starved Rock State Park,4.5,water falls and river,5.0 of 5 bubbles,There are many hiking trails along the Illinois River and in the many canyons.  The “water falls and river” make it that much more scenic.  There are a lot of unique chain saw art sculptures scattered around the lodge area.
Starved Rock State Park,4.5,Good hiking.,4.0 of 5 bubbles,"My first choice was Matthiessen down the road, but it is still closed due to storm damage, so I went to Starved Rock instead.  That really ins't a complaint.  I just wanted a more intimate location since I was by myself.  "
Starved Rock State Park,4.5,Beautiful views and great hike!,5.0 of 5 bubbles,"Took about 3 - 3.5 hours to hike from visitor's center down to LaSalle Canyon while hitting Starved Rock, French Canyon, Wildcat Canyon, LaSalle Canyon, Eagle Cliff Overlook, and Lover's Leap Overlook in that order.  French Canyon is pretty (sunlight glistened off the water onto the canyon walls) and most accessible but it also crowded for that reason.  The waterfall at Wildcat was a small trickle compared to the others but it's also very high which is cool.  LaSalle Canyon was definitely worth the hike especially since you can walk behind the waterfall for some cool photos."
Starved Rock State Park,4.5,Too Busy For Its Own Good,3.0 of 5 bubbles,We visited twice over a 5-day span in October 2020. Each time the park was VERY busy.
Starved Rock State Park,4.5,Covid alternative,5.0 of 5 bubbles,When you really need to get outside when everyone tells you need to stay in and social distance this is a great place to go.  The trails are marked well and it is a great way to spend a few hours outside.  There were not a lot of people there but everyone seemed to do their best to either have a mask on or social distance on the trails and on the stairs.  There are a lot of stairs to climb if you are on the trails so be prepared to walk and climb alot if you want to see the canyons and  river areas
Starved Rock State Park,4.5,"Lots of Trails, Waterfalls, and Canyons!",5.0 of 5 bubbles,"We cannot wait to come back in the Spring/Summer/Fall to go hiking.  We arrived just after a big snowfall, and although the lodge sells yak-traks for the adventure seekers so they can walk the snowpacked trails and even climb a frozen waterfall, I wasn't brave enough to attempt it, although I would have loved to watch someone climb a frozen waterfall.  The canyons and waterfalls look beautiful, and my husband walked one of the trails to get a look at the canyon.  Starved Rock Lodge has a short film that shows some of the trails, canyons, and waterfalls, and we will definitely come back to see them in-person!  We also highly recommend staying at the beautiful Starved Rock Lodge or at least enjoying a meal at their wonderful restaurant.  We did catch a glimpse of an eagle in a tree near the roadside because we were here while the eagles were migrating in the area."
Starved Rock State Park,4.5,Junior Ranger Program and MOSQUITOES!,3.0 of 5 bubbles,"I'd recommend doing this park in the spring and fall early in the morning in the middle of the week. In the spring, you may catch the waterfalls. In the fall, you'd see more at the overlooks and/or get some color. The park has some interesting history and I'd recommend arriving just before the ranger tour. The visitor center opens at 9:00."
Burlington Bike Path,5.0,Dangerous bike path,1.0 of 5 bubbles,The bike path is a very dangerous bike path. Some bikes are going 30 mph or more.
Burlington Bike Path,5.0,Best of Burlington,5.0 of 5 bubbles,"This was one of the best bike paths I've ever been on.  Just amazing views and we had the perfect weather.  I will say if the weather isn't good you won't be able to enjoy it as much.  The path is well kept and if you're lucky enough to get the ferry, the team of workers are like a comedy routine.  They accept donations and worth it. Plenty of bathroom stops and places to sit and take in the view. We did 27.1 miles- it's not a loop so you can stop and turn around at any point. We started at hero island and went to Burlington then turned around.  Plenty of parking. We say people swimming and places to eat but we packed our own. We had mountain bikes and we saw others with hybrids and road bikes. It's a must do- plenty of people walking and running."
Burlington Bike Path,5.0,Great walk or bike ride,5.0 of 5 bubbles,"Walked the bike trail but next time here will rent  an electric bike readily available with access at various locations. The walk is extremely enjoyable along Lake Champlain looking over the glass still waters and the beauty of the mountains. A park on one side can be had for lunch, walking your dog or eating and sitting on the large swings available throughout your bike ride or walk. Highly recommend the adventure!"
Burlington Bike Path,5.0,A Very Civilized Walk on Water,5.0 of 5 bubbles,"We walked this on a warm sunny clear afternoon and boy was it worth it.  Made up of giant blocks of marble pulled from nearby quarries, this was a causeway for a now abandoned railway."
