Name,Location,Coords,Trails (view details),Total Distance,State Ranking,Access Road/Trail,White,Green,Blue,Black,Double Black Diamond,Proline
Area-X,"near Shoshoni, WY","(43.223040, -107.964700)",4,4 miles,"#2,911",0,0,0,2,2,0,0
ASI,"near Lander, WY","(42.776310, -108.766120)",8,4 miles,"#3,108",1,2,5,2,3,0,0
Bear River State Park,"near Evanston, WY","(41.260810, -110.937700)",12,6 miles,"#4,414",0,10,2,0,0,0,0
Beck Lake,"near Cody, WY","(44.511450, -109.064450)",18,18 miles,"#1,921",2,0,5,9,4,0,0
Big Medicine,"near Lovell, WY","(44.857660, -107.912950)",17,69 miles,"#2,823",8,0,1,5,2,0,0
Big Sandy Trailhead,"near Pinedale, WY","(42.653340, -109.243630)",1,7 miles,"#6,016",0,0,0,1,0,0,0
Black Hills,"near Sundance, WY","(44.457270, -104.114090)",2,6 miles,"#1,872",1,0,0,1,0,0,0
Black Hills National Forest,"near Sundance, WY","(44.425960, -104.426000)",29,47 miles,"#3,776",2,0,4,18,5,0,0
Blacktail OHV Area,"near Sundance, WY","(44.604840, -104.418230)",3,11 miles,"#5,734",3,0,0,0,0,0,0
Bridger Wilderness,"near Pinedale, WY","(42.695630, -109.266640)",80,401 miles,"#5,209",0,0,0,0,0,0,0
Bridle Trail,"near Casper, WY","(42.765520, -106.333980)",9,5 miles,"#3,534",2,0,0,3,1,2,0
Brooks Lake,"near Dubois, WY","(43.757540, -110.012720)",11,34 miles,"#3,758",0,0,0,3,1,0,0
Burnt Hollow,"near Gillette, WY","(44.540360, -105.407200)",8,10 miles,"#4,937",0,0,1,6,1,0,0
Bus Loop,"near Lander, WY","(42.837895, -108.816922)",41,20 miles,"#1,553",9,0,3,19,10,1,0
Casper Mountain Trails Center,"near Casper, WY","(42.746230, -106.310690)",11,9 miles,"#1,143",0,0,4,6,1,0,0
Cedar Rim,"near Worland, WY","(43.840573, -107.537724)",8,6 miles,"#5,149",0,0,2,3,3,0,0
Central Lakes,"near Moose, WY","(43.764960, -110.745160)",26,53 miles,"#4,761",1,1,0,1,0,0,0
Colter Bay,"near Colter Bay Village, WY","(43.900610, -110.651590)",8,18 miles,"#8,647",0,0,1,0,0,0,0
Commissary ridge,"near Lander, WY",NA,1,NA,"#9,207",0,0,0,0,0,0,0
Crossroads,"near Casper, WY","(42.867080, -106.314820)",5,5 miles,"#3,483",0,0,4,1,0,0,0
Curt Gowdy State Park,"near Cheyenne, WY","(41.174170, -105.268090)",61,41 miles,#265,1,3,7,24,12,14,0
Devils Tower National Monument,"near Sundance, WY","(44.590390, -104.719600)",6,7 miles,"#7,151",0,0,0,0,0,0,0
Duncan Ranch,"near Glenrock, WY","(42.743870, -105.795580)",2,6 miles,"#2,268",0,0,1,1,0,0,0
Fish Canyon,"near Sundance, WY","(44.308234, -104.280478)",6,9 miles,"#7,711",0,0,3,2,1,0,0
Flying V Trails,"near Newcastle, WY","(43.970380, -104.181130)",23,14 miles,"#2,897",0,0,9,11,4,0,0
