Name,Coords,Distance,Avg time,Climb,Descent,Activities,Riding Area,Difficulty Rating,Local Popularity,Altitude start,Altitude end,Grade
"""A"" Game","(32.818620, -116.891850)","4,177 ft",00:10:22,170 ft,-25 ft,Mountain Bike Hike,"Crestridge
Crest, California",Blue rate,95 in Mountain Biking [+],"1,446 ft","1,591 ft",3.5%
"""Frick"" Trail","(37.851920, -122.071390)","1,115 ft",NA,NA,-178 ft,Hike Trail Running,"Sugarloaf Open Space
Walnut Creek, California",Black Diamond rate,5 in Hiking [+],939 ft,761 ft,-16%
"""Golden"" Trail","(37.850940, -122.068640)","1,532 ft",00:04:58,NA,-252 ft,Hike Mountain Bike Trail Running,"Las Trampas Regional Park
Alamo, California",Black Diamond rate,40 in Mountain Biking [+],925 ft,673 ft,-16.5%
"""O"" - - - - Yeah !!!","(34.609660, -118.223590)","4,570 ft",00:03:48,9 ft,-386 ft,Mountain Bike Hike Trail Running,"P-12 (Rancho, aka Antelope Valley Trails)
Palmdale, California",Black Diamond rate,80 in Mountain Biking [+],"3,336 ft","2,959 ft",-8.3%
"""T"" Party","(40.564400, -122.421440)",1.6 miles,00:08:38,145 ft,-184 ft,Mountain Bike E-Bike Hike Trail Running,"Redding
, California",Green rate,80 in Mountain Biking [+],728 ft,689 ft,-0.5%
"""Ultra Tech""","(37.842770, -122.053580)",315 ft,NA,NA,-18 ft,Mountain Bike Hike Trail Running,"Danville
, California",Black Diamond rate,65 in Mountain Biking [+],"1,000 ft",981 ft,-5.8%
"""Veltman"" Trail","(37.846380, -122.061600)","1,617 ft",NA,NA,-270 ft,Hike Trail Running,"Las Trampas Regional Park
Alamo, California",Double Black Diamond rate,5 in Hiking [+],947 ft,676 ft,-16.8%
#1 #1,"(40.718110, -122.430180)",18.5 miles,02:39:24,"4,474 ft","-3,346 ft",ATV/ORV/OHV Mountain Bike E-Bike Hike Trail Running Dirtbike/Moto,"BLM Chappie - Shasta OHV
Redding, California",Green rate,30 in Mountain Biking [+],"1,017 ft","2,146 ft",1.2%
#1 / #2 Connector,"(37.743680, -122.415620)",151 ft,NA,19 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,25 in Mountain Biking [+],418 ft,436 ft,12.5%
#1 / #2 Connector (East),"(37.717700, -122.417020)",295 ft,00:01:00,20 ft,NA,Mountain Bike Hike Trail Running,"San Francisco
, California",Green rate,25 in Mountain Biking [+],393 ft,413 ft,6.9%
